Butterfly_num,Sex,FWL,FWW,HWL,HWW,Treatment,Plant
SC41,F,53.75,27.61,34.39,32.3,Summer,CUR
SC44,M,55.08,26.84,37,31.79,Summer,CUR
SC38,M,55.15,27.35,36.33,33.59,Summer,CUR
SC45,M,53.97,28.47,36.29,34.03,Summer,CUR
FS10,M,54.9,27.94,36.07,31.52,Fall,SYR
FS28,F,55.24,28.86,36.64,33.36,Fall,SYR
FS26,F,52.74,28.43,36.93,31.42,Fall,SYR
FS23,F,52.92,27.59,35.5,31.36,Fall,SYR
FS20,F,54.68,27.94,36.14,31.04,Fall,SYR
FS21,M,53.44,27.59,36.79,31.45,Fall,SYR
FS11,F,56.42,28.66,37.85,34.37,Fall,SYR
FS14,M,54.79,26.67,35.56,32.15,Fall,SYR
FS22,F,54.86,28.04,36.58,32.27,Fall,SYR
FS12,F,51,25.82,34.71,30.95,Fall,SYR
FS7,M,53.46,27.41,36.99,32.72,Fall,SYR
FS1,M,55.61,27.39,36.26,33.02,Fall,SYR
FS9,M,55.21,29.25,37.24,33.53,Fall,SYR
FS6,F,52.42,27.49,35.82,31.4,Fall,SYR
FS2,M,55.91,27.56,36.96,32.86,Fall,SYR
FS3,M,56.38,27.82,36.31,33.06,Fall,SYR
FS4,M,54.81,27.48,37.03,33.15,Fall,SYR
FS24,F,53.37,27.9,37.14,33.15,Fall,SYR
FS30,M,53.4,27.18,35.21,33.72,Fall,SYR
FS13,M,55.02,28.23,36.24,34.01,Fall,SYR
FS27,M,53.43,27.8,34.77,32.33,Fall,SYR
FS25,M,54.77,25.89,34.63,31.7,Fall,SYR
FS16,M,55.07,28.56,36.55,34.02,Fall,SYR
FS18,M,54.8,26.67,35.22,32.77,Fall,SYR
FS17,F,52.95,26.94,35.81,32.31,Fall,SYR
FS37,M,55.37,27.15,36.01,33.63,Fall,SYR
FS34,F,54.68,27.9,36.48,34.05,Fall,SYR
FS31,F,55.5,27.76,36.65,33.68,Fall,SYR
FS36,F,57.24,27.5,37.31,32.89,Fall,SYR
FS38,F,54.17,26.92,36.14,32.11,Fall,SYR
FS33,M,56.76,27.41,37.65,31.14,Fall,SYR
FS35,F,55.23,28.01,36.01,32.96,Fall,SYR
FS39,F,52.02,25.95,34.84,32.46,Fall,SYR
FS47,F,52.18,25.98,34.59,31.29,Fall,SYR
FS41,F,50.96,26.29,34.78,32.67,Fall,SYR
FS45,M,51.88,25.36,33.74,31.42,Fall,SYR
FS43,M,54.63,27.7,36.29,33.13,Fall,SYR
FS48,M,51.79,26.37,34.56,32.8,Fall,SYR
FS46,M,52.98,26.67,35.01,32.07,Fall,SYR
FS40,M,50.63,25.73,33.35,30.61,Fall,SYR
FS51,M,45.57,22.34,29.69,26.18,Fall,SYR
FC4,M,55.29,28.56,36.45,34.42,Fall,CUR
FC5,F,53.82,27.51,36.87,31.22,Fall,CUR
FC8,M,56.25,28.58,36.75,32.6,Fall,CUR
FC10,M,55.23,28.48,36.74,33.23,Fall,CUR
FC13,F,56.84,28.76,37.54,33.84,Fall,CUR
FC17,F,54.49,28.08,36.28,33.33,Fall,CUR
FC16,M,56.59,28.45,37.43,34.62,Fall,CUR
FC15,F,54.92,28.46,35.59,32.26,Fall,CUR
FC12,F,52.1,28.53,34.98,34.65,Fall,CUR
FC11,F,55.11,28.36,37.4,33.9,Fall,CUR
FC3,M,55.85,28.62,36.68,34.65,Fall,CUR
FC9,M,54.95,27.79,35.28,31.81,Fall,CUR
FC20,M,53.72,28.42,35,32.68,Fall,CUR
FC22,M,54.22,27.11,35.72,32.3,Fall,CUR
FC24,M,57.34,27.83,37.16,32.59,Fall,CUR
FC23,F,56.05,27.6,35.57,32.59,Fall,CUR
FC18,M,57.29,28.99,38.08,35.49,Fall,CUR
FC21,F,54.2,27.48,35.68,33.46,Fall,CUR
FC25,F,52.68,26.79,34.76,32.62,Fall,CUR
FC26,F,53.51,27.85,35.96,33.42,Fall,CUR
FC36,M,55.07,27.42,36.2,34.08,Fall,CUR
FC29,M,55.7,28.32,37.15,33.89,Fall,CUR
FC34,F,53.08,26.87,36.12,31.71,Fall,CUR
FC37,F,52.66,28.55,35.44,33.69,Fall,CUR
